Time,Motion 1 motion,Motion 2 motion,Motion 3 motion,Motion 4 motion
07:05:38,0,,,
07:05:38,,0,,
07:05:38,,,0,
07:05:38,,,,0
07:13:15,1,,,
07:13:07,,1,,
07:13:26,,,1,
07:13:31,,,,1
07:14:16,0,,,
07:14:23,,0,,
07:14:26,,,0,
07:14:32,,,,0
07:38:19,,,,1
07:38:22,,,1,
07:38:31,,1,,
07:38:37,1,,,
07:39:20,,,,0
07:39:24,,,0,
07:39:31,,0,,
07:39:39,0,,,
07:52:09,,,,1
07:52:12,,,1,
07:52:20,,1,,
07:52:28,1,,,
07:53:22,,,,0
07:53:25,,,0,
07:53:32,,0,,
07:53:40,0,,,
08:00:33,,,,1
08:03:25,,,1,
08:03:29,,1,,
08:03:36,1,,,
08:05:22,,,,0
08:05:28,,,0,
08:05:32,,0,,
08:05:40,0,,,
08:05:47,,,,1
08:05:54,,,1,
08:05:58,,1,,
08:06:04,1,,,
08:07:08,0,,,
08:07:46,,0,,
08:07:53,,,0,
08:08:17,,,,0
08:18:17,,,,1
08:18:23,,,1,
08:18:25,,1,,
08:18:28,1,,,
08:19:17,,,,0
08:19:25,,,0,
08:19:26,,0,,
08:19:30,0,,,
08:25:50,1,,,
08:25:58,,1,,
08:26:05,,,1,
08:27:01,,0,,
08:27:08,,,0,
08:27:15,,,,
08:27:47,,,,1
08:28:19,,,,
08:28:45,,,,0
08:38:54,,,1,
08:39:01,,,,1
08:39:24,0,,,
08:39:58,,,0,
08:40:01,,,,0
08:53:07,,,1,
08:53:39,,,,1
08:54:11,,,0,
08:54:20,,1,,
08:54:34,1,,,
08:54:37,,,,0
08:54:46,,,1,
08:54:53,0,,,1
08:55:08,,0,,
08:55:16,,,,
08:55:50,,,0,
08:55:53,,,,0
09:07:00,1,,,
09:07:05,,1,,
09:07:09,,,1,
09:07:15,,,,1
09:08:02,0,,,
09:08:07,,0,,
09:08:12,,,0,
09:08:14,1,,,
09:08:15,,,1,
09:08:18,,1,,
09:09:56,0,,,0
09:10:03,,,0,
09:10:06,,,,1
09:10:09,,0,,
09:10:20,,,1,
09:10:29,,1,,
09:11:41,,,,0
09:11:45,,,,1
09:11:55,,,,
09:12:38,,0,,
09:12:42,,,0,
09:13:47,,,,0
09:29:02,1,,,
09:29:11,,1,,
09:29:16,,,1,
09:30:21,,,0,
09:30:22,,0,,
09:30:29,0,,,
09:31:31,,,,
09:32:58,,,,0
09:33:30,,,,
09:33:54,,,,1
09:34:48,1,,,
09:34:54,,,,0
09:35:02,,1,,
09:35:05,,,,1
09:35:06,,,1,
09:37:32,,,0,
09:37:40,,0,,
09:37:48,0,,,
09:38:15,1,,,0
09:38:20,,1,,
09:38:24,,,1,
09:39:16,0,,,
09:39:21,,0,,
09:39:24,,,0,
09:41:11,0,,,
09:42:43,,0,,
09:42:50,,,0,
09:42:55,,,,0
09:43:26,,,,1
09:43:34,,,1,
09:43:42,,1,,
09:43:50,1,,,
09:44:33,,,,0
09:44:41,,,0,
09:44:48,,0,,
09:45:00,0,,,
09:50:20,,,,1
09:53:08,,,,0
09:53:22,,,,1
09:54:21,,,,0
09:54:35,,,,1
09:55:36,,,1,
09:55:41,,1,,
09:55:46,1,,,
10:02:17,,,,0
10:02:21,,,0,
10:03:09,,0,,
10:03:13,0,,,
10:01:17,,1,,
10:01:21,1,,,
10:02:18,,0,,
10:02:28,0,,,
10:05:07,1,,,
10:05:12,,1,,
10:05:16,,,1,
10:05:22,,,,1
10:06:09,0,,,
10:06:14,,0,,
10:06:19,,,0,
10:06:21,1,,,
10:06:22,,,1,
10:06:25,,1,,
10:08:03,,,,0
10:08:10,,,0,
10:08:13,,,,1
10:08:16,,0,,
10:08:27,,,1,
10:08:36,,1,,
10:09:48,,,,0
10:09:52,,,,1
10:10:02,0,,,
10:10:45,,0,,
10:10:49,,,0,
10:11:54,,,,0
10:18:29,,,,1
10:21:21,,,1,
10:21:25,,1,,
10:21:32,1,,,
10:23:18,,,,0
10:23:24,,,0,
10:23:28,,0,,
10:23:36,0,,,
10:23:43,,,,1
10:23:50,,,1,
10:23:54,,1,,
10:24:00,1,,,
10:25:04,0,,,
10:25:42,,0,,
10:25:49,,,0,
10:26:13,,,,0
10:27:49,,,,1
10:28:15,1,,,
10:28:21,,1,,
10:28:27,,,1,
10:30:00,,,0,
10:30:04,,0,,
10:30:32,0,,,
10:30:59,1,,,
10:32:59,0,,,
10:34:30,1,,,
10:35:35,,,,0
10:35:43,0,,,
10:35:56,,,1,
10:35:59,,1,,
10:36:05,1,,,
10:36:59,,,0,
10:37:06,,,1,
10:37:13,,,,1
10:38:25,0,,,
10:38:30,,0,,
10:38:33,,,0,
10:39:15,1,,,
10:39:17,,,,0
10:39:18,,,,1
10:39:20,,1,,
10:39:26,,,1,
10:41:02,,0,,
10:41:07,,,0,
10:41:56,,,,0
10:42:02,0,,,
10:42:16,,,,1
10:42:22,,,1,
10:42:27,,1,,
10:43:05,1,,,
10:44:35,,0,,
10:44:39,,,0,
10:44:41,0,,,
10:44:45,,,,0
10:44:48,,,,1
10:46:06,,,,0
10:46:52,,,,1
10:47:01,1,,,
10:47:10,,1,,
10:47:15,,,1,
10:48:20,,,0,
10:48:21,,0,,
10:48:28,0,,,
10:49:30,1,,,
10:50:57,,,,0
10:51:29,0,,,
10:51:53,,,,1
10:52:47,1,,,
10:52:53,,,,0
10:53:01,,1,,
10:53:04,,,,1
10:53:05,,,1,
10:55:31,,,0,
10:55:36,,0,,
10:55:44,0,,,
10:56:11,1,,,0
10:56:16,,1,,
10:56:20,,,1,
10:57:12,0,,,
10:57:17,,0,,
10:57:20,,,0,
10:57:38,,,1,
10:57:44,,1,,
10:57:49,1,,,1
10:59:50,1,,,
10:59:50,0,,,
11:02:33,1,,,
11:02:35,0,,,
11:03:18,,,,0
11:03:23,,,0,
11:03:30,,,1,
11:03:56,,,,1
11:04:41,0,,,
11:04:50,,0,,
11:05:15,,1,,
11:05:19,1,,,
11:06:07,,,,0
11:06:11,,,0,
11:06:16,,0,,
11:06:26,0,,,
11:07:00,1,,,
11:07:05,,1,,
11:07:09,,,1,
11:07:15,,,,1
11:08:02,0,,,
11:08:07,,0,,
11:08:12,,,0,
11:08:14,1,,,
11:08:15,,,1,
11:08:18,,1,,
11:09:56,,,,0
11:10:03,,,0,
11:10:06,,,,1
11:10:09,,0,,
11:10:20,,,1,
11:10:29,,1,,
11:11:41,,,,0
11:11:45,,,,1
11:11:55,0,,,
11:12:38,,0,,
11:12:42,,,0,
11:13:47,,,,0
11:14:44,,,,1
11:15:44,,,,0
11:16:02,,,,1
11:16:55,,,1,
11:17:00,,1,,
11:17:04,1,,,
11:17:55,,,0,
11:18:02,,0,,
11:18:09,0,,,
11:18:56,,,,0
11:22:36,,,,1
11:23:36,,,,0
11:24:36,,,,1
11:25:04,1,,,
11:25:14,,1,,
11:25:22,,,1,
11:26:15,0,,,
11:26:22,,0,,
11:26:28,,,0,
11:28:16,,,1,
11:28:21,,1,,
11:28:28,1,,,
11:29:19,,,0,
11:29:25,,0,,
11:29:30,0,,,
11:30:13,,,,0
11:30:15,,,,1
11:33:25,1,,,0
11:33:30,,1,,1
11:33:35,,,1,
11:35:25,,,0,0
11:35:30,,0,,
