Time,Motion 1 motion,Motion 2 motion,Motion 3 motion,Motion 4 motion
13:17:22,0,,,
13:17:53,,,0,
13:18:22,,,1,
13:20:11,,0,,
13:20:17,,,0,
13:20:45,,,,0
13:20:52,,,,1
13:20:57,,,1,
13:21:03,,1,,
13:21:56,,,,0
13:22:01,,,0,
13:22:05,,0,,
13:22:13,1,,,
13:22:49,,1,,
13:22:56,,,1,
13:23:00,,,,1
13:24:27,0,,,
13:24:34,,0,,
13:24:41,,,0,
13:25:18,,,,0
13:29:40,1,,,
13:29:49,,1,,
13:29:55,,,1,
13:30:01,,,,1
13:31:41,0,,,
13:31:47,,0,,
13:31:52,,,0,
13:31:56,,,,0
13:51:38,,,,1
13:51:43,,,1,
13:51:49,,1,,
13:51:57,1,,,
13:53:10,0,,,
13:53:18,,0,,
13:53:25,,,0,
13:53:30,,,,0
13:54:50,1,,,
13:54:59,,1,,
13:55:04,,,1,
13:55:10,,,,1
13:55:54,0,,,
13:56:02,1,,,
13:56:48,,,,0
13:56:53,,,0,
13:56:58,,0,,
13:57:05,0,,,
14:10:30,,,,1
14:10:37,,,1,
14:10:44,,1,,
14:10:54,1,,,
14:11:33,,,,0
14:11:40,,,0,
14:11:49,,0,,
14:11:58,0,,,
14:23:24,,1,,
14:23:16,1,,,
14:23:28,,,1,
14:23:33,,,,1
14:24:20,0,,,
14:24:26,,0,,
14:24:31,,,0,
14:24:36,,,,0
14:30:57,1,,,
14:31:06,,1,,
14:31:10,,,1,
14:31:17,,,,1
14:32:01,0,,,
14:32:07,,0,,
14:32:14,,,0,
14:32:18,,,,0
15:06:21,,,,1
15:06:30,,,1,
15:07:37,,,0,
15:07:44,,,,0
15:08:50,1,,,
15:08:57,,1,,
15:09:04,,,1,
15:09:09,,,,1
15:09:54,0,,,
15:10:00,,0,,
15:10:06,,,0,
15:10:10,,,,0
15:11:19,,,,1
15:11:26,,,1,
15:11:32,,1,,
15:11:41,1,,,
15:12:49,,,,0
15:12:53,,,0,
15:13:00,,0,,
15:13:06,0,,,
15:16:53,1,,,
15:16:59,,1,,
15:17:03,,,1,
15:17:08,,,,1
15:17:56,0,,,
15:17:59,,0,,
15:18:06,,,0,
15:18:07,,,1,
15:18:13,,1,,
15:18:20,1,,,
15:19:06,,,,0
15:19:11,,,0,
15:19:21,,0,,
15:19:24,0,,,
15:21:40,,,,1
15:21:45,,,1,
15:21:51,,1,,
15:21:57,1,,,
15:22:44,,,,0
15:22:49,,,0,
15:22:53,,0,,
15:23:00,0,,,
15:25:48,,,,1
15:25:53,,,1,
15:25:58,,1,,
15:26:05,1,,,
15:26:51,,,,0
15:26:56,,,0,
15:27:00,,0,,
15:27:08,0,,,
15:28:21,1,,,
15:28:30,,1,,
15:28:35,,,1,
15:28:41,,,,1
15:29:26,0,,,
15:29:32,,0,,
15:29:39,,,0,
15:29:45,,,,0
15:31:18,1,,,
15:31:25,,1,,
15:31:30,,,1,
15:31:35,,,,1
15:32:20,0,,,
15:32:27,,0,,
15:32:32,,,0,
15:32:39,,,,0
15:38:21,,,,1
15:38:27,,,1,
15:38:31,,1,,
15:38:38,1,,,
15:39:23,,,,0
15:39:28,,,0,
15:39:33,,0,,
15:39:40,0,,,
15:47:09,1,,,
15:48:17,0,,,
15:51:16,,,,1
15:51:22,,,1,
15:51:27,,1,,
15:51:34,1,,,
15:52:20,,,,0
15:52:24,,,0,
15:52:29,,0,,
15:52:35,0,,,
15:58:39,1,,,
15:58:46,,1,,
15:58:51,,,1,
15:58:55,,,,1
15:59:41,0,,,
15:59:49,,0,,
15:59:53,,,0,
15:59:58,,,,0
16:00:49,1,,,
16:02:02,0,,,
16:09:05,1,,,
16:09:13,,1,,
16:09:16,,,1,
16:09:21,,,,1
16:10:07,0,,,
16:10:14,,0,,
16:10:20,,,0,
16:10:24,,,,0
16:13:50,,,,1
16:13:56,,,1,
16:14:02,,1,,
16:14:09,1,,,
16:14:53,,,,0
16:14:58,,,0,
16:15:04,,0,,
16:15:12,0,,,
16:16:14,1,,,
16:16:22,,1,,
16:16:28,,,1,
16:16:35,,,,1
16:17:18,0,,,
16:17:25,,0,,
16:17:33,,,0,
16:17:39,,,,0
16:26:33,,,,1
16:26:39,,,1,
16:26:48,,1,,
16:26:54,1,,,
16:27:37,,,,0
16:27:44,,,0,
16:27:49,,0,,
16:27:58,0,,,
16:30:03,1,,,
16:30:11,,1,,
16:30:16,,,1,
16:30:21,,,,1
16:31:53,0,,,
16:32:01,,0,,
16:32:08,,,0,
16:32:12,,,,0
16:32:36,1,,,
16:32:45,,1,,
16:32:51,,,1,
16:32:56,,,,1
16:33:41,0,,,
16:33:48,,0,,
16:33:53,,,0,
16:33:58,,,1,
16:34:05,,1,,
16:34:13,1,,,
16:34:54,,,,0
16:35:01,,,0,
16:35:08,,0,,
16:35:15,0,,,
16:35:45,,,,1
16:35:52,,,1,
16:35:58,,1,,
16:36:01,1,,,
16:37:19,0,,,
16:37:25,,0,,
16:37:28,,,0,
16:37:33,,,,0
16:49:24,,,,1
16:49:31,,,1,
16:49:38,,1,,
16:49:45,1,,,
16:50:28,,,,0
16:50:34,,,0,
16:50:48,,0,,
16:50:48,0,,,
16:55:27,1,,,
16:55:36,,1,,
16:55:41,,,1,
16:55:48,,,,1
16:56:32,0,,,
16:56:38,,0,,
16:56:45,,,0,
16:56:51,,,,0
17:01:04,,,,1
17:01:13,,,1,
17:01:20,,1,,
17:01:35,1,,,
17:02:09,,,,0
17:02:16,,,0,
17:02:25,,,,1
17:02:27,,0,,
17:02:33,,,1,
17:02:42,0,,,
17:03:02,,1,,
17:03:21,1,,,
17:03:30,,,,0
17:03:39,,,,1
17:04:23,0,,,
17:04:36,,,0,
17:04:42,,,,0
17:06:57,,0,,
17:07:18,,1,,
17:07:59,1,,,
17:08:13,,,1,
17:08:17,,,,1
17:09:35,0,,,
17:09:44,,0,,
17:09:52,,,0,
17:09:59,,,,0
17:17:06,,,,1
17:17:11,,,1,
17:17:14,,1,,
17:17:21,1,,,
17:18:08,,,,0
17:18:13,,,0,
17:18:18,,0,,
17:18:23,0,,,
17:18:47,1,,,
17:20:07,0,,,
17:20:43,1,,,
17:20:48,,1,,
17:20:53,,,1,
17:20:57,,,,1
17:21:44,0,,,
17:21:50,,0,,
17:21:55,,,0,
17:22:00,,,,0
17:26:06,,,,1
17:26:11,,,1,
17:26:17,,1,,
17:26:24,1,,,
17:27:08,,,,0
17:27:14,,,0,
17:27:20,,0,,
17:27:27,0,,,
17:28:39,1,,,
17:29:45,0,,,
17:31:59,,,,1
17:32:03,,,1,
17:32:09,,1,,
17:32:15,1,,,
17:33:01,,,,0
17:33:05,,,0,
17:33:10,,0,,
17:33:16,0,,,
17:33:37,1,,,
17:33:44,,1,,
17:33:47,,,1,
17:33:52,,,,1
17:34:39,0,,,
17:34:45,,0,,
17:34:50,,,0,
17:34:55,,,,0
17:42:01,,,,1
17:42:08,,,1,
17:42:12,,1,,
17:42:21,1,,,
17:43:04,,,,0
17:43:10,,,0,
17:43:17,,0,,
17:43:24,0,,,
18:01:03,1,,,
18:01:09,,1,,
18:01:13,,,1,
18:01:17,,,,1
18:02:10,0,,,
18:02:19,,0,,
18:02:23,,,0,
18:02:30,,,,0
18:02:44,,,,1
18:02:48,,,1,
18:02:54,,1,,
18:02:57,1,,,
18:03:47,,,,0
18:03:51,,,0,
18:03:54,,0,,
18:03:59,0,,,
18:04:02,1,,,
18:04:07,,1,,
18:04:11,,,1,
18:04:15,,,,1
18:05:03,0,,,
18:05:07,,0,,
18:05:13,,,0,
18:05:17,,,,0
18:11:00,,1,,
18:11:41,,,,1
18:11:46,,,1,
18:11:58,1,,,
18:12:43,,,,0
18:12:48,,,0,
18:12:54,,0,,
18:13:02,0,,,
18:13:15,1,,,
18:13:24,,1,,
18:13:32,,,1,
18:13:38,,,,1
18:14:19,0,,,
18:14:28,,0,,
